inst_i,inst_j,weight
https://openalex.org/I145872427,https://openalex.org/I887064364,5823
https://openalex.org/I151746483,https://openalex.org/I157725225,342
https://openalex.org/I151746483,https://openalex.org/I169381384,130
https://openalex.org/I151746483,https://openalex.org/I205783295,348
https://openalex.org/I151746483,https://openalex.org/I887064364,184
https://openalex.org/I157725225,https://openalex.org/I169381384,195
https://openalex.org/I157725225,https://openalex.org/I205783295,1359
https://openalex.org/I157725225,https://openalex.org/I887064364,183
https://openalex.org/I169381384,https://openalex.org/I205783295,330
https://openalex.org/I169381384,https://openalex.org/I887064364,3482
https://openalex.org/I205783295,https://openalex.org/I887064364,708
https://openalex.org/I114090438,https://openalex.org/I185261750,468
https://openalex.org/I136199984,https://openalex.org/I185261750,6340
https://openalex.org/I154526488,https://openalex.org/I185261750,2225
https://openalex.org/I185261750,https://openalex.org/I97018004,3328
https://openalex.org/I114090438,https://openalex.org/I1294671590,1492
https://openalex.org/I114090438,https://openalex.org/I189158943,368
https://openalex.org/I114090438,https://openalex.org/I241749,400
https://openalex.org/I114090438,https://openalex.org/I25974101,797
https://openalex.org/I114090438,https://openalex.org/I4210134900,687
https://openalex.org/I114090438,https://openalex.org/I865915315,251
https://openalex.org/I114090438,https://openalex.org/I9341345,1228
https://openalex.org/I1294671590,https://openalex.org/I136199984,2773
https://openalex.org/I1294671590,https://openalex.org/I154526488,60136
https://openalex.org/I1294671590,https://openalex.org/I189158943,2218
https://openalex.org/I1294671590,https://openalex.org/I196349391,430
https://openalex.org/I1294671590,https://openalex.org/I205783295,1938
https://openalex.org/I1294671590,https://openalex.org/I241749,5724
https://openalex.org/I1294671590,https://openalex.org/I25974101,670
https://openalex.org/I1294671590,https://openalex.org/I40120149,5607
https://openalex.org/I1294671590,https://openalex.org/I4210087915,607
https://openalex.org/I1294671590,https://openalex.org/I4210134900,96
https://openalex.org/I1294671590,https://openalex.org/I45129253,5115
https://openalex.org/I1294671590,https://openalex.org/I865915315,1061
https://openalex.org/I1294671590,https://openalex.org/I9341345,293
https://openalex.org/I1294671590,https://openalex.org/I97018004,2657
https://openalex.org/I136199984,https://openalex.org/I189158943,1144
